wave_id,step,sim_time,respondent,question_type,target,value,is_fail_safe
pre,5117,2023-02-13 14:12:50,Isabella Rodriguez,micro_tie,Klaus Mueller,1,0
pre,5117,2023-02-13 14:12:50,Isabella Rodriguez,micro_tie,Maria Lopez,1,0
pre,5117,2023-02-13 14:12:50,Isabella Rodriguez,micro_tie,Isabella Rodriguez,1,0
pre,5117,2023-02-13 14:12:50,Isabella Rodriguez,micro_tie,Maria Lopez,0,0
pre,5117,2023-02-13 14:12:50,Isabella Rodriguez,micro_tie,Isabella Rodriguez,1,0
pre,5117,2023-02-13 14:12:50,Isabella Rodriguez,micro_tie,Klaus Mueller,1,0
pre,5117,2023-02-13 14:12:50,Isabella Rodriguez,centrality_rank,Isabella Rodriguez,1,0
pre,5117,2023-02-13 14:12:50,Isabella Rodriguez,centrality_rank,Maria Lopez,2,0
pre,5117,2023-02-13 14:12:50,Isabella Rodriguez,centrality_rank,Klaus Mueller,3,0
pre,5117,2023-02-13 14:12:50,Isabella Rodriguez,self_position,,5,0
pre,5117,2023-02-13 14:12:50,Klaus Mueller,micro_tie,Klaus Mueller,1,0
pre,5117,2023-02-13 14:12:50,Klaus Mueller,micro_tie,Maria Lopez,0,0
pre,5117,2023-02-13 14:12:50,Klaus Mueller,micro_tie,Isabella Rodriguez,1,0
pre,5117,2023-02-13 14:12:50,Klaus Mueller,micro_tie,Maria Lopez,1,0
pre,5117,2023-02-13 14:12:50,Klaus Mueller,micro_tie,Isabella Rodriguez,1,0
pre,5117,2023-02-13 14:12:50,Klaus Mueller,micro_tie,Klaus Mueller,1,0
pre,5117,2023-02-13 14:12:50,Klaus Mueller,centrality_rank,Isabella Rodriguez,1,0
pre,5117,2023-02-13 14:12:50,Klaus Mueller,centrality_rank,Klaus Mueller,2,0
pre,5117,2023-02-13 14:12:50,Klaus Mueller,centrality_rank,Maria Lopez,3,0
pre,5117,2023-02-13 14:12:50,Klaus Mueller,self_position,,5,0
pre,5117,2023-02-13 14:12:50,Maria Lopez,micro_tie,Klaus Mueller,1,0
pre,5117,2023-02-13 14:12:50,Maria Lopez,micro_tie,Maria Lopez,1,0
pre,5117,2023-02-13 14:12:50,Maria Lopez,micro_tie,Isabella Rodriguez,1,0
pre,5117,2023-02-13 14:12:50,Maria Lopez,micro_tie,Maria Lopez,1,0
pre,5117,2023-02-13 14:12:50,Maria Lopez,micro_tie,Isabella Rodriguez,0,0
pre,5117,2023-02-13 14:12:50,Maria Lopez,micro_tie,Klaus Mueller,1,0
pre,5117,2023-02-13 14:12:50,Maria Lopez,centrality_rank,Klaus Mueller,1,0
pre,5117,2023-02-13 14:12:50,Maria Lopez,centrality_rank,Isabella Rodriguez,2,0
pre,5117,2023-02-13 14:12:50,Maria Lopez,centrality_rank,Maria Lopez,3,0
pre,5117,2023-02-13 14:12:50,Maria Lopez,self_position,,4,0
