persona,self_perceived_value,self_perceived_rank,gt_degree,gt_degree_rank,signed_error,absolute_error,is_fail_safe
Abigail Chen,3,8,0,7,1,1,0
Arthur Burton,4,1,0,8,-7,7,0
Ayesha Khan,4,2,1,1,1,1,0
Carlos Gomez,3,9,0,9,0,0,0
Francisco Lopez,4,3,1,2,1,1,0
Giorgio Rossi,4,4,1,3,1,1,0
Hailey Johnson,3,10,0,10,0,0,0
Isabella Rodriguez,4,5,1,4,1,1,0
Klaus Mueller,3,11,0,11,0,0,0
Latoya Williams,3,12,0,12,0,0,0
Maria Lopez,4,6,1,5,1,1,0
Mei Lin,3,13,0,13,0,0,0
Rajiv Patel,4,7,1,6,1,1,0
Ryan Park,3,14,0,14,0,0,0
Wolfgang Schulz,3,15,0,15,0,0,0
